# schema=2; component version source-url source-revision license role validation-state inspection-caveat
supabase-postgres	17.6.1.136	https://github.com/supabase/postgres	d156ba65c14694c12cc5e782bc15b9b8ed2d1376	PostgreSQL	image-build-and-configuration	source-file-reviewed	The pinned Dockerfile revision assembles Alpine and Nix package closures; the registry image does not attest a reproducible source mapping.
postgresql	17.6	NOASSERTION	NOASSERTION	PostgreSQL	database-engine	runtime-version-pending	The image tag names PostgreSQL 17.6, but the live profile has not run and no server_version observation is claimed.
pgcrypto	NOASSERTION	https://github.com/postgres/postgres	NOASSERTION	PostgreSQL	runtime-exercised-extension	runtime-presence-pending	Built-in contrib source family is identified; exact installed extension version and PostgreSQL source revision are not asserted before the live run.
pg_stat_statements	NOASSERTION	https://github.com/postgres/postgres	NOASSERTION	PostgreSQL	runtime-exercised-extension	runtime-presence-pending	Built-in contrib source family is identified; exact installed extension version and PostgreSQL source revision are not asserted before the live run.
pg_graphql	NOASSERTION	https://github.com/supabase/pg_graphql	NOASSERTION	Apache-2.0	installed-supabase-extension	catalogue-only	Presence, version, and source revision are not independently validated against the image.
pg_jsonschema	NOASSERTION	https://github.com/supabase/pg_jsonschema	NOASSERTION	Apache-2.0	installed-supabase-extension	catalogue-only	Presence, version, and source revision are not independently validated against the image.
pg_net	NOASSERTION	https://github.com/supabase/pg_net	NOASSERTION	Apache-2.0	installed-supabase-extension	catalogue-only	Presence, version, and source revision are not independently validated against the image.
supautils	NOASSERTION	https://github.com/supabase/supautils	NOASSERTION	PostgreSQL	installed-supabase-extension	catalogue-only	Preload configuration was reviewed, but presence, version, and source revision are not independently validated against the image.
vault	NOASSERTION	https://github.com/supabase/vault	NOASSERTION	Apache-2.0	installed-supabase-extension	catalogue-only	Presence, version, and source revision are not independently validated against the image.
postgis	NOASSERTION	https://github.com/postgis/postgis	NOASSERTION	GPL-2.0-or-later	installed-third-party-extension	catalogue-only	Copyleft terms are distinct from PostgreSQL; presence, version, and source revision are not independently validated against the image.
pgrouting	NOASSERTION	https://github.com/pgRouting/pgrouting	NOASSERTION	GPL-2.0-or-later	installed-third-party-extension	catalogue-only	Copyleft terms are distinct from PostgreSQL; presence, version, and source revision are not independently validated against the image.
pgroonga	NOASSERTION	https://github.com/pgroonga/pgroonga	NOASSERTION	LGPL-2.1-or-later	installed-third-party-extension	catalogue-only	Additional Groonga components may apply; presence, version, and source revision are not independently validated against the image.
pg_repack	NOASSERTION	https://github.com/reorg/pg_repack	NOASSERTION	BSD-3-Clause	installed-third-party-extension	catalogue-only	Presence, version, and source revision are not independently validated against the image.
wal2json	NOASSERTION	https://github.com/eulerto/wal2json	NOASSERTION	BSD-3-Clause	installed-third-party-extension	catalogue-only	Presence, version, and source revision are not independently validated against the image.
operating-system-and-nix-closure	NOASSERTION	NOASSERTION	NOASSERTION	NOASSERTION	transitive-runtime-packages	unreviewed	This catalogue is deliberately not a complete SBOM and grants no redistribution claim.
